PROJECT_ID,TITLE,DONOR_IATI_CODE,DONOR,COUNTRY_IATI_CODE,COUNTRY,ADM1_CODE,ADM1_NAME,ADM2_CODE,ADM2_NAME,LATITUDE,LONGITUDE,GEONAME_ID,GEONAME,PRECISION_CODE,LOCATION_TYPE,SOURCE_URL,SOURCE,INTERNAL_NOTES,LOCATION_ACTIVITY_DESCRIPTION,,,,
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2363,Region VII (Central Visayas),24252,Bohol,9.6228,124.0026,1710690,Concepcion,1,populated place,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2362,Region VI (Western Visayas),24250,Iloilo,11.21667,123.11667,1717038,Concepcion,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,"List of locations found beginning on page. 2This location is displayed in water in Geonames as well, added to TK manuallyListed in the correct ADMs in Geonames",, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2363,Region VII (Central Visayas),999,Null,10.53333,124.03333,1715775,Danao City,3,second-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,This should be nested under ADM1 Central Visayas and ADM2 Danao City,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,67166,Region IV-A (Calabarzon),24234,Quezon,14,121.38333,1714513,Dolores,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2361,Region V (Bicol region),24245,Sorsogon,12.98333,123.56667,1714412,Donsol,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2362,Region VI (Western Visayas),24248,Capiz,11.26667,122.8,1714141,Dumarao,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2363,Region VII (Central Visayas),24255,Siquijor,9.26667,123.63333,1713854,Enrique Villanueva,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2368,Region XIII (Caraga),24276,Agusan Del Sur,8.67694,125.64694,1713784,Esperanza,1,populated place,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,2361,Region V (Bicol region),24242,Camarines Sur,13.85,123.65,1713192,Garchitorena,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,67160,Region X (Northern Mindanao),24263,Camiguin,9.11667,124.76667,1712298,Guinsiliban,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
2418399,Kapit-Bisig Laban sa Kahirapan � Comprehensive Integrated Delivery of Social Service (KALAHI-CIDSS),11000,Donor Government,PH,Philippines,67159,Region IX (Zamboanga Peninsula),24238,Zamboanga Del Norte,7.93333,122.33333,1712069,Gutalac,2,third-order administrative division,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/EAP/2011/12/10/5E87B097E85E944F8525796200421B7A/1_0/Rendered/PDF/P0770120ISR0Di010201101323518524122.pdf,World Bank Implementation Status and Results,,, , , , 
